epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,2.560530282694367e-10,0.5194135944516652,2.1380755353450257e-11,0.04337169946899185,7.96468643287628e-11,0.1615667831285119,2.1305561434730686e-11,0.043219165660401467,8.411731901355413e-13,0.0017063527551211834,4.929655885109185e-10,13.0,2.179466355300974e-05,0.7957180313235216,0.010113684643475148,0.0,64.0,3.90625,5.19047619047619,64.0,5.091933351010084,3.9309733564486127,4.0,0.765625,1.1666666666666667,25.0,1.1690816842019558,2.3936709315381237,7.0,0.328125,0.5,15.0,0.5033965706825256,2.377868201720451,6.444017388143056,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
1,2.85404908189585e-10,0.5468084060545055,2.580860422000832e-11,0.0494468081349882,6.689638445219662e-11,0.12816705075308826,2.042576385107417e-11,0.03913380272504782,6.108851423594966e-13,0.001170397289573192,5.219468190859086e-10,12.5,2.3699249140918255e-05,0.644937458463763,0.003712091352483809,0.0,64.0,3.640625,4.785714285714285,64.0,4.822911341674626,3.8061650708017,5.0,0.734375,1.119047619047619,26.0,1.1055915355682373,2.455063967682593,7.0,0.375,0.5714285714285714,13.0,0.5878366082906723,2.300630937446122,6.449123048987625,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
2,2.519123917520514e-10,0.5395119547040897,1.7265137832855187e-11,0.03697614156911906,5.000593543555647e-11,0.1070959621557556,2.3227151915173847e-11,0.049744778511326394,4.529402622908753e-13,0.0009700463108351369,4.669264314823565e-10,13.0,2.0938137822668068e-05,0.8722151898217024,0.0039800893212575674,0.0,64.0,3.9375,5.238095238095237,64.0,5.205016015097499,3.798795633236481,5.0,0.84375,1.2857142857142856,31.0,1.3118241112679243,2.735404104748501,6.0,0.25,0.38095238095238093,9.0,0.3930569887161255,2.070079143827125,6.510364348559675,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
3,9.474905462578013e-11,0.37561796994119867,2.0772376340384167e-11,0.08234887263673787,6.196589097626028e-11,0.24565418901570268,2.6262405243936914e-11,0.10411324294962011,5.530568724740801e-13,0.0021925084162709866,2.5224846042539624e-10,14.5,1.6081787180155516e-05,1.0758796503892065,0.0022573917379773065,0.0,64.0,4.328125,5.833333333333333,64.0,5.781685885041952,3.9135432990351866,5.0,1.078125,1.6428571428571428,39.0,1.5906782150268555,2.8273719456559054,8.0,0.3125,0.47619047619047616,16.0,0.5235116928815842,2.364048713848595,7.3056105674129395,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
4,6.709253942847295e-11,0.4150030164254375,1.4460134778523472e-11,0.08944361924775936,2.9110224009871874e-11,0.18006220774809606,2.2964559096202226e-11,0.1420480038017404,5.153730369601571e-13,0.003187856157253097,1.6166759462705565e-10,15.5,1.315514964517206e-05,1.1120374712870607,0.0,0.0,64.0,4.40625,5.9523809523809526,64.0,5.884700961410999,4.027450916860316,10.0,1.1875,1.8095238095238093,47.0,1.849833782762289,3.170810529860084,10.0,0.515625,0.7857142857142858,24.0,0.7149545550346375,2.72081545231622,8.45641431997323,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
5,5.296343203961031e-11,0.48057622139278755,7.348583604566286e-12,0.06667911057256026,1.5769561121002106e-11,0.1430888408229665,2.017090120381138e-11,0.18302544055991704,6.221541023348939e-13,0.00564526232742082,1.1020818276466889e-10,18.0,1.0801215466926806e-05,1.2165753888488835,0.0,0.0,64.0,4.453125,6.023809523809523,64.0,6.030387055128813,4.010946396890118,7.0,1.09375,1.6666666666666665,32.0,1.7259590737521648,2.784272236616821,13.0,0.734375,1.119047619047619,29.0,1.0979214757680893,2.9959694154174947,8.60412220155457,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
6,6.644498081542118e-11,0.4261380102518808,1.0130412252585455e-11,0.06497035091845674,2.7671893607449402e-11,0.17747082679634726,3.056982787575705e-11,0.19605642841414092,6.618847367212403e-13,0.004244929282258406,1.5592361914898652e-10,17.0,1.2085412890883163e-05,1.266015674566357,0.0,0.0,64.0,4.671875,6.357142857142857,64.0,6.167223932221532,3.8741630160468223,9.0,1.265625,1.9285714285714286,37.0,1.8422463685274124,2.9188158843023086,10.0,0.40625,0.619047619047619,14.0,0.5761611312627792,2.353492880477548,7.690716264570048,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
7,8.810408419534024e-11,0.4020449108639691,1.8046641552432367e-11,0.08235214588071745,3.28530995468709e-11,0.14991837892147794,3.886387607778326e-11,0.17734732431787886,9.886555801511199e-13,0.004511526885810877,2.1913990654927116e-10,16.0,1.5959290976752527e-05,1.107609983013854,0.00033888646555983753,0.0,64.0,4.6875,6.3809523809523805,64.0,6.389762738719583,3.9458535791139173,7.0,1.171875,1.7857142857142856,40.0,1.8484989441931248,3.0292667888332776,17.0,0.65625,0.9999999999999999,27.0,0.9666915088891983,2.971397579483478,8.815854821399078,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
8,1.870799614173122e-10,0.531458263137987,2.263358168671082e-11,0.06429766138864486,5.7016562691394424e-11,0.16197311111516255,3.623471060309853e-11,0.10293585810333773,1.1878093050579087e-12,0.0033743382531337125,3.5201251799661836e-10,15.0,1.8728938812273555e-05,0.9356758550709972,0.008450414966942701,0.0,64.0,4.640625,6.309523809523809,64.0,6.363982513546944,3.8969957026431468,8.0,1.203125,1.833333333333333,42.0,1.8433484435081482,3.040894804630722,9.0,0.5625,0.8571428571428572,23.0,0.8825075030326843,2.726504322790156,8.493255073961711,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
9,1.4023066365878232e-10,0.5438296719609439,2.0281530931444707e-11,0.07865396929270362,4.905781207405082e-11,0.1902514981478649,2.8753298460585298e-11,0.11150839952996196,7.630375352977458e-13,0.002959142042745885,2.578576912751705e-10,15.0,1.7019538063323125e-05,1.0276692225254014,0.005659126330981734,0.0,64.0,4.609375,6.261904761904761,64.0,6.265476778149605,4.025300534742537,11.0,1.5,2.2857142857142856,41.0,2.261326029896736,3.196412476292991,15.0,0.609375,0.9285714285714285,28.0,0.8868853002786636,2.6569939906898923,9.001617797158284,sub-1022,sed2,rest,2.0,2020-02-03T13:39:10.416001Z,data/raw/ds005620/sub-1022/eeg/sub-1022_task-sed2_acq-rest_run-2_eeg.vhdr,data/processed/sub-1022/sub-1022_task-sed2_acq-rest_run-2_eeg_epochs.npy,sub-1022_task-sed2_acq-rest_run-2_eeg
