epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,5.561123149934257e-10,0.6682582356335153,2.2927705691364644e-11,0.02755131965134952,4.492702567676945e-11,0.05398703481575394,1.0064831747468751e-11,0.012094511349908105,9.6251515611845e-13,0.0011566165011214272,8.321817604929714e-10,10.0,3.372985156602226e-05,0.46924437874139663,0.02838873148678182,0.0,63.0,5.0625,6.9642857142857135,63.0,6.880916082300246,3.9812196042570913,10.0,1.3125,2.0,34.0,1.9716157391667366,2.9302868130378115,11.0,0.546875,0.8333333333333334,26.0,0.8763951063156128,2.805710210146621,8.584007868666783,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
1,1.477809617625274e-09,0.7218955281228779,3.2276315340815825e-11,0.01576666400795273,2.7136655264867844e-11,0.013255990386230938,5.932060253819414e-12,0.00289775334976441,5.001373470646349e-13,0.0002443121969075924,2.04712393975895e-09,3.0,4.385476131574251e-05,0.32106194334937666,0.0,0.0,63.0,4.765625,6.511904761904761,63.0,6.555687346495688,4.0162566228084335,12.0,1.46875,2.238095238095238,28.0,2.252802848815918,2.9247307979864847,12.0,0.53125,0.8095238095238093,18.0,0.8069424629211426,2.4289280124342723,8.413404122157818,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
2,1.8291560670858758e-09,0.7552912744913668,2.172453887180274e-11,0.008970450880313422,1.4354993994198913e-11,0.005927433915722507,4.107821938559501e-12,0.0016961931915963411,4.704213235649865e-13,0.00019424538311231665,2.4217889559464036e-09,2.0,5.029121894040145e-05,0.26593009449140287,0.0,0.0,63.0,4.484375,6.083333333333332,63.0,6.069188863970339,3.9820860421339805,8.0,1.078125,1.6428571428571428,23.0,1.6792329549789429,2.6012811471371626,7.0,0.40625,0.6190476190476191,17.0,0.6247477829456329,2.1232341274421653,7.028496012503904,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
3,1.246540806980925e-09,0.71084735606364,3.500755706438538e-11,0.019963268945632003,1.3269966758259707e-11,0.007567277968225914,7.377115074520391e-12,0.004206844025267669,7.223421676926129e-13,0.00041191994453931244,1.753598429181364e-09,3.0,3.973840284743346e-05,0.38791866504139916,0.0,0.0,63.0,4.90625,6.726190476190476,63.0,6.630663140676916,3.9617838796807576,6.0,1.140625,1.7380952380952381,30.0,1.7461295872926712,2.6293085613525684,10.0,0.578125,0.8809523809523808,21.0,0.8465601056814194,2.6646667161200135,7.886664970446672,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
4,4.227880775307274e-10,0.6971201103035355,4.3363199871680226e-11,0.07150002633521038,3.6150091488931215e-11,0.05960659040678618,2.0447045401776343e-11,0.03371440043701745,1.5925466233401492e-12,0.0026258930578422495,6.064780965028247e-10,11.5,2.7036818210035563e-05,0.6700640091969119,0.0,0.0,63.0,6.953125,9.845238095238095,63.0,9.881281904876232,3.9987693470091377,9.0,1.34375,2.0476190476190474,32.0,1.989076055586338,2.898296173359959,6.0,0.40625,0.6190476190476191,23.0,0.6567984223365784,2.8692102989695125,8.413380950252389,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
5,6.712179786270723e-10,0.6964772754465677,4.638164290690568e-11,0.04812707840247707,4.4760092654129295e-11,0.04644450591780758,2.6104001844873923e-11,0.02708634849197211,1.6735128464779775e-12,0.0017364905363886226,9.637327767753806e-10,10.5,4.979305958840996e-05,0.7241979965370944,0.00016514030400873597,0.0,63.0,6.34375,8.916666666666666,63.0,9.008511966094375,3.996472085683247,11.0,1.421875,2.1666666666666665,33.0,2.1741995587944984,2.963740091483404,17.0,0.9375,1.4285714285714284,28.0,1.4192110002040863,2.98554423872736,9.542694889209349,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
6,1.3791985815042016e-08,0.5840009664858942,3.1202217972219027e-10,0.013212111509283723,1.0748921155978223e-10,0.0045514695475727856,7.304238208110106e-11,0.003092870185761935,1.1096058615186246e-11,0.00046984597014198415,2.3616374983131377e-08,2.0,0.00015936983982101083,0.5106556317297389,0.030624101623232574,0.0,63.0,5.125,7.059523809523808,63.0,7.078175449743867,3.873019464284772,5.0,0.84375,1.2857142857142856,26.0,1.2332471311092377,2.8281952720309724,2.0,0.140625,0.21428571428571425,8.0,0.2302999645471573,1.7951929033967813,6.086935271084149,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
7,1.866348098231174e-08,0.6144262262550944,7.933955286814666e-10,0.026119619436343607,2.2778347373292855e-10,0.007498930146077398,1.2662649290528525e-10,0.004168709912874728,1.7621066955911857e-11,0.0005801085918843531,3.037546280546158e-08,3.0,0.0002111584326485172,0.454276455974526,0.055619625909627914,0.0002557683035920264,63.0,5.15625,7.107142857142857,63.0,7.155912677757442,3.7063625830811087,3.0,0.203125,0.30952380952380953,15.0,0.3194546438753605,2.4195188600117032,1.0,0.015625,0.023809523809523808,3.0,0.02778446674346924,0.6807341600052612,3.447492130635794,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
8,1.735265352374347e-08,0.6674921485814767,1.6361654668493212e-09,0.06293721023172165,3.438330699317773e-10,0.013225981506983729,1.908768283293001e-10,0.0073423228373464605,2.7764048266587154e-11,0.001067979845585376,2.599679046505719e-08,4.5,0.00015916556003503501,0.6276548946907783,0.04251993998212128,0.00027051054544326137,63.0,5.09375,7.011904761904761,63.0,7.004883509129286,3.7749862405261356,3.0,0.515625,0.7857142857142857,18.0,0.7087452672421932,2.5902790710650283,1.0,0.046875,0.07142857142857142,2.0,0.060353994369506836,0.3913550357221129,3.750733368398841,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
9,8.788867312690875e-10,0.6421713623747729,6.252186430405639e-11,0.04568250873508065,4.290055762145987e-11,0.0313459158663479,2.7971196217094017e-11,0.020437560999523003,3.659536579918757e-12,0.0026738935832986577,1.3686171367389114e-09,8.5,6.946029316168278e-05,0.6785458320981387,0.06043619579052161,0.0003514483395911585,63.0,6.4375,9.059523809523808,63.0,9.13856765627861,3.9517391078297432,6.0,1.046875,1.5952380952380951,33.0,1.5403317585587502,3.1651553377466,7.0,0.4375,0.6666666666666667,23.0,0.6536347270011902,2.960456508017657,8.319578331324198,sub-1036,sed2,rest,1.0,2020-01-20T18:46:38.795701Z,data/raw/ds005620/sub-1036/eeg/sub-1036_task-sed2_acq-rest_run-1_eeg.vhdr,data/processed/sub-1036/sub-1036_task-sed2_acq-rest_run-1_eeg_epochs.npy,sub-1036_task-sed2_acq-rest_run-1_eeg
