epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,9.996995372277487e-11,0.5739013154456858,1.0011393237689414e-11,0.05747278591812595,1.1460140519268358e-11,0.06578966453699743,2.2851698583127275e-11,0.1311856151638622,4.738514532234595e-13,0.0027202570592852015,1.7419363056371328e-10,16.5,1.3501985449693166e-05,1.226660223248965,0.0,0.0,64.0,4.46875,6.047619047619047,64.0,6.028245096094906,4.060964856730222,9.0,1.1875,1.8095238095238095,38.0,1.9946143180131912,3.049432894638641,9.0,0.546875,0.8333333333333333,27.0,0.8153213858604431,2.814649453626827,8.674018052139102,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
1,8.437867537176339e-11,0.5247100851578758,8.009948386991864e-12,0.049809986726280786,1.7222002843897592e-11,0.10709528845998798,2.4754084372528072e-11,0.15393365280845603,5.858676299701328e-13,0.003643226830220466,1.608100887681154e-10,17.5,1.2970623174624052e-05,1.280036054098178,0.0,0.0,64.0,4.640625,6.309523809523809,64.0,6.299637254327536,4.042344793033347,12.0,1.15625,1.7619047619047619,32.0,1.694117695093155,2.920734151056298,11.0,0.4375,0.6666666666666667,23.0,0.6188831627368927,2.7216215204153826,7.955356529301728,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
2,1.09427572579679e-10,0.5060287183557882,1.193746319930596e-11,0.05520271592212909,1.643353967300506e-11,0.07599403717673277,2.0821763585226156e-11,0.09628661307703953,5.328478352034913e-13,0.002464061851781871,2.1624775158065357e-10,16.0,1.866276579676196e-05,1.0994929211796418,0.0,0.0,64.0,4.0625,5.428571428571429,64.0,5.435028405394405,3.937168004504191,10.0,1.140625,1.7380952380952381,24.0,1.7690868228673935,2.6385454657173044,13.0,0.6875,1.0476190476190474,18.0,1.0830329954624176,2.5683346546013555,8.058999938648471,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
3,2.913159444058738e-10,0.6452108825126497,9.704823618718934e-12,0.021494387560672755,1.4290692911218924e-11,0.03165123901394981,1.2601306742440765e-11,0.027909561423713383,3.9616604557879456e-13,0.0008774344446224782,4.515050075897665e-10,10.0,1.9587207134463824e-05,0.9949550036178191,0.0,0.0,64.0,3.609375,4.738095238095237,64.0,4.714948368258774,3.9581785648576004,6.0,0.84375,1.2857142857142856,23.0,1.2057816348969936,2.2992233989838424,4.0,0.296875,0.45238095238095233,15.0,0.5118534862995148,2.2335888094551737,6.2504473296355245,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
4,3.698171252028679e-11,0.4448358446359487,5.276923645372464e-12,0.063473663789393,9.363652054687067e-12,0.11263102184191541,1.611189376399494e-11,0.19380248730395416,5.230124493721211e-13,0.00629107385289251,8.313563973369194e-11,20.0,1.1899182936758734e-05,1.309798614156956,0.0,0.0,64.0,4.796875,6.5476190476190474,64.0,6.55239649862051,4.043390886306665,12.0,1.484375,2.261904761904762,42.0,2.2226863503456116,3.2051064562926728,10.0,0.4375,0.6666666666666666,23.0,0.6461203992366791,2.7395845897106725,8.813497795585636,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
5,4.1409626227972786e-11,0.42517843331267957,7.0276702447030825e-12,0.07215746908776846,1.342136396542945e-11,0.13780550619618348,2.2690627797819337e-11,0.23297881330406447,5.261827782813825e-13,0.0054026464299420365,9.739352465584683e-11,19.5,1.0050925993709825e-05,1.41974790627492,0.0,0.0,64.0,5.8125,8.095238095238095,64.0,8.023504331707954,4.069950818125795,16.0,1.921875,2.928571428571429,39.0,2.8834151178598404,3.2889212044015728,9.0,0.515625,0.7857142857142856,25.0,0.7908148169517517,2.5894892525934576,9.552640391806623,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
6,4.736032347880093e-11,0.4646326724509764,5.2882279252420755e-12,0.0518806311476088,1.1547867414702872e-11,0.11329138198147262,1.8076328120486282e-11,0.17733942730525704,5.47029855103378e-13,0.005366685124119172,1.019306783334268e-10,19.5,1.075218642654363e-05,1.3110284720106242,0.0,0.0,64.0,5.328125,7.357142857142856,64.0,7.359604395925999,4.032672336530628,10.0,1.421875,2.1666666666666665,42.0,2.152264967560768,3.1743257376986933,12.0,0.640625,0.9761904761904762,26.0,1.0329341888427734,2.7597134320951637,9.119238326197397,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
7,3.758214917948028e-11,0.42684076886601097,6.2776523870328956e-12,0.07129868913983502,1.0666117078937611e-11,0.12114085314935628,2.263336630007155e-11,0.2570593668662086,6.57927559154552e-13,0.007472438680036938,8.804723428674556e-11,21.5,9.661357580625918e-06,1.5186284777098678,0.0,0.0,64.0,5.640625,7.833333333333332,64.0,7.8554137805476785,4.043250326864829,9.0,1.265625,1.9285714285714286,38.0,1.9739010483026505,3.0204758536678664,9.0,0.515625,0.7857142857142856,23.0,0.7575986981391907,2.3095564228618404,8.061532022971548,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
8,2.813510997112827e-11,0.36440485301396586,5.10302870631326e-12,0.06609422986291458,1.3368561885667781e-11,0.17314909499035147,2.411681096755659e-11,0.3123600001854065,6.840256658691526e-13,0.008859473891682563,7.720838440658744e-11,22.5,9.197444342134986e-06,1.6224284805594895,0.0,0.0,64.0,6.328125,8.880952380952381,64.0,8.768776070326567,4.054970308142595,14.0,1.40625,2.142857142857143,36.0,2.1370739787817,3.1744401376320996,10.0,0.546875,0.8333333333333333,22.0,0.89033442735672,2.5303298268668994,8.73217837063742,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
9,2.9053403535439545e-11,0.335024157117307,6.1732608084975375e-12,0.07118585939541983,1.597454840682829e-11,0.18420766464758706,2.7468406512205367e-11,0.3167470457594333,7.208435889917609e-13,0.008312279679067404,8.672032424595174e-11,22.0,1.0013929568231106e-05,1.6106218451642718,0.0,0.0,64.0,5.984375,8.357142857142858,64.0,8.412289396859705,4.057798448357808,12.0,1.734375,2.642857142857143,45.0,2.7329888492822647,3.3658550393886175,15.0,0.609375,0.9285714285714284,25.0,0.9884868562221527,2.683604757210259,9.770935502103294,sub-1057,sed,rest,2.0,2020-10-23T14:53:35.023925Z,data/raw/ds005620/sub-1057/eeg/sub-1057_task-sed_acq-rest_run-2_eeg.vhdr,data/processed/sub-1057/sub-1057_task-sed_acq-rest_run-2_eeg_epochs.npy,sub-1057_task-sed_acq-rest_run-2_eeg
