classical_metric,n_subjects,median_diff_epochs,ci_low,ci_high,wilcoxon_stat,p_value,effect_size_r,prop_topo_first,nft_supported
lempel_ziv,17,-57.0,-102.0,0.0,25.0,0.9578580601608585,-0.5238095238095238,0.11764705882352941,False
wpli_alpha,18,-59.5,-84.0,-21.925000000000068,18.0,0.9983589256936507,-0.7894736842105263,0.1111111111111111,False
