epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,1.125395049085916e-11,0.5438987211436156,2.3272179174223982e-12,0.11247346877317904,1.443766326459723e-12,0.06977662281609254,1.8356210738894273e-12,0.08871479889694356,3.3472115791196243e-13,0.01617693359108851,2.069126117302926e-11,25.0,5.009863343730103e-06,1.4241753945481268,0.0,0.0,64.0,7.78125,11.095238095238095,64.0,11.080814070999622,4.060745365506104,15.0,1.46875,2.238095238095238,39.0,2.20442134141922,3.0122674440149635,12.0,0.5625,0.857142857142857,23.0,0.8566974103450775,2.668259551170635,8.741645746949896,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
1,1.6066665654214486e-10,0.7183626065452094,6.368642982979345e-12,0.028475074242979733,6.6836346161418045e-12,0.029883444937363113,5.251497383374012e-12,0.02348016340027798,3.6831300408828306e-13,0.0016467778401298354,2.2365676481245612e-10,9.0,1.3630829016619828e-05,1.155820410877659,0.0,0.0,64.0,4.328125,5.833333333333334,64.0,5.7964182533323765,3.956921204076707,8.0,0.953125,1.4523809523809523,28.0,1.408264484256506,2.607502524995012,11.0,0.578125,0.8809523809523808,17.0,0.8570851683616638,2.520699109716916,7.393551287330098,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
2,1.667760041523659e-10,0.694966868431579,5.070656981800707e-12,0.021129769965667858,9.56710714735835e-12,0.0398667813630711,5.330253003534736e-12,0.02221152411368649,2.5772439894186096e-13,0.0010739549694895073,2.399769136171207e-10,10.0,1.4160178579913918e-05,0.9870839133543406,0.0,0.0,64.0,4.421875,5.976190476190476,64.0,6.0036526415497065,3.9720246729694004,7.0,1.03125,1.5714285714285712,36.0,1.5867258794605732,2.8118430549678104,9.0,0.421875,0.6428571428571428,16.0,0.6295639872550964,2.3198443629784498,7.34797728466193,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
3,1.0829548979871104e-11,0.45648597086030707,1.2383060473756453e-12,0.05219694184024909,3.578187270849885e-12,0.15082736070448463,4.086846497077239e-12,0.17226830909051888,2.9921218864659915e-13,0.012612359635793978,2.3723727937271353e-11,22.5,6.106520231696777e-06,1.4135986170065775,0.0,0.0,64.0,6.15625,8.619047619047619,64.0,8.577362172305584,4.0495192320749025,9.0,1.203125,1.8333333333333333,36.0,2.0014471858739853,2.973412919204438,16.0,0.53125,0.8095238095238094,22.0,0.7349374294281006,2.695630718496253,8.405428253002778,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
4,6.65877950870728e-12,0.3798447909633611,9.5421761826242e-13,0.05443258652257302,2.6208932827813018e-12,0.14950677670488166,5.490035627977908e-12,0.31317472410128216,3.7152360482066167e-13,0.021193269100819888,1.7530264116086217e-11,29.0,4.3706331780413166e-06,1.7525474414776172,0.0,0.0,64.0,7.359375,10.452380952380953,64.0,10.463119722902775,4.068616361847909,16.0,1.28125,1.9523809523809523,33.0,2.110219568014145,3.051242475381408,15.0,0.765625,1.1666666666666665,32.0,1.238992840051651,3.0999476337287444,9.500402517175948,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
5,6.1007646927121654e-12,0.38204101914775274,1.4288728113265681e-12,0.08947862318371697,2.714615890964028e-12,0.16999420135273724,3.885192828488257e-12,0.24329786552074503,3.7114157922485605e-13,0.023241563036278234,1.5968873463696633e-11,30.0,4.420032382768113e-06,1.779850285829058,0.0,0.0,64.0,7.078125,10.023809523809522,64.0,9.95862015336752,4.09575975220824,19.0,1.6875,2.571428571428571,45.0,2.5891077369451523,3.429651929068337,15.0,0.671875,1.0238095238095237,34.0,0.9882159233093262,2.9592289714282125,9.966204560751027,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
6,1.3395848812340224e-11,0.5021846535200662,1.3879527965071947e-12,0.05203168563488787,1.4939927671352608e-12,0.056006920549459174,5.7521085545068194e-12,0.21563550633639772,3.2329114733365467e-13,0.012119564432550025,2.667514572267779e-11,21.5,5.3473622756428085e-06,1.5442095210661726,0.0,0.0,64.0,6.390625,8.976190476190476,64.0,9.053210742771626,4.0486343279347645,11.0,1.375,2.095238095238095,35.0,2.034735642373562,3.0301324718407017,12.0,0.65625,1.0,25.0,0.9226740896701813,2.887330521844081,8.874872725728526,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
7,1.2287003917200763e-11,0.4663903558654724,1.5399878402059483e-12,0.058454891172996515,2.908184132322329e-12,0.1103889151119548,5.224127207684227e-12,0.19829753159494598,3.2484824645801496e-13,0.012330596644128404,2.6344892776352515e-11,22.5,5.732295903726481e-06,1.449510466333698,0.0,0.0,64.0,6.359375,8.928571428571429,64.0,8.956601846963167,4.055756237471706,11.0,1.265625,1.9285714285714284,33.0,1.881277747452259,2.918912936016252,11.0,0.609375,0.9285714285714285,29.0,0.8753907382488251,2.807240273485045,8.48282169520238,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
8,8.516177203932796e-12,0.4090378212830508,1.5188371757748164e-12,0.07295078934897366,3.480655864461882e-12,0.16717828402843515,4.664791665802174e-12,0.22405313722663014,3.4800377274009293e-13,0.016714859448222073,2.0820023872657176e-11,25.0,5.5415403039660305e-06,1.5597057300223958,0.0,0.0,64.0,6.5625,9.238095238095237,64.0,9.192863371223211,4.0132723501378225,11.0,1.390625,2.1190476190476186,37.0,2.062665715813637,2.901492695870251,8.0,0.625,0.9523809523809522,30.0,0.9697892963886261,2.8276918350631877,8.761639543135702,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
9,1.1658533940600996e-11,0.38017889719591763,1.6588571245405902e-12,0.05409449210566196,3.8413356218921946e-12,0.12526401243337512,9.960366604506448e-12,0.3248025189669005,4.0232563806638625e-13,0.013119635639696717,3.066591551133098e-11,21.0,5.346174930309644e-06,1.6349730306669081,0.0,0.0,64.0,6.203125,8.69047619047619,64.0,8.733652986586094,4.0494201244967405,12.0,1.453125,2.214285714285714,36.0,2.155246540904045,3.099879714302792,13.0,0.8125,1.238095238095238,33.0,1.1096757650375366,2.845704257537201,9.210506277781576,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
10,7.623839772866618e-12,0.44181952064533553,1.5676564468570618e-12,0.09084939354995475,2.59748096317069e-12,0.15053015648595489,3.2414270973779507e-12,0.18784835582029002,3.159991864374212e-13,0.018312899173588134,1.72555521352497e-11,27.5,4.881759195995983e-06,1.5997990960519888,0.0,0.0,64.0,6.65625,9.38095238095238,64.0,9.36743264272809,4.05318040840687,7.0,1.328125,2.0238095238095237,38.0,1.9589793682098389,3.104809705913886,9.0,0.53125,0.8095238095238094,28.0,0.7923761308193207,2.8072095493158713,8.663374754258918,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
11,1.1958706748927024e-11,0.4024037647677256,1.6773317912718411e-12,0.05644127260106466,5.732740556932638e-12,0.19290349959900996,4.944053807412907e-12,0.1663646334914657,2.995897362121467e-13,0.010081026340775047,2.9718178098631346e-11,21.0,5.544521627598442e-06,1.4932934059242966,0.0,0.0,64.0,6.21875,8.714285714285714,64.0,8.774801831692457,4.067595465941914,14.0,1.3125,2.0,42.0,1.9528902769088745,3.1526431980371608,10.0,0.5,0.7619047619047619,29.0,0.7458856999874115,2.778638751177494,8.630057926110942,sub-1016,sed,rest,1.0,2019-12-20T13:09:50.825622Z,data/raw/ds005620/sub-1016/eeg/sub-1016_task-sed_acq-rest_run-1_eeg.vhdr,data/processed/sub-1016/sub-1016_task-sed_acq-rest_run-1_eeg_epochs.npy,sub-1016_task-sed_acq-rest_run-1_eeg
