epoch_idx,power_delta_abs,power_delta_rel,power_theta_abs,power_theta_rel,power_alpha_abs,power_alpha_rel,power_beta_abs,power_beta_rel,power_gamma_abs,power_gamma_rel,power_total,sef95,rms,lempel_ziv,wpli_alpha,wpli_gamma,betti_0_max,betti_0_mean,betti_0_auc,n_features_0,total_persistence_0,persistence_entropy_0,betti_1_max,betti_1_mean,betti_1_auc,n_features_1,total_persistence_1,persistence_entropy_1,betti_2_max,betti_2_mean,betti_2_auc,n_features_2,total_persistence_2,persistence_entropy_2,topo_complexity,subject,task,acquisition,run,acq_time,source_file,epoch_file,bids_stem
0,3.4706623522027944e-11,0.3446184240552903,3.3689688014921398e-12,0.03345207920686323,1.6070389918442688e-12,0.015957047634244034,4.646441150775159e-12,0.046136704304568496,1.6803157278513124e-12,0.016684646885339015,1.0071029608231173e-10,50.0,1.0797609320434276e-05,2.2900921833312182,0.0,0.0,63.0,4.734375,6.4642857142857135,63.0,6.398366002365947,3.8570930187078942,5.0,0.78125,1.1904761904761905,22.0,1.2087447568774223,2.3394295406236876,5.0,0.40625,0.6190476190476191,14.0,0.5446355193853378,2.379019127595581,6.471828944482029,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
1,1.0411484229327059e-11,0.1687859998694739,3.2632185766183315e-12,0.05290173793816199,1.0167761101436611e-12,0.01648348771547672,2.328063915624838e-12,0.037741458096045025,2.2834580443190287e-12,0.03701832905674889,6.168452500431611e-11,50.5,8.993915798782837e-06,3.1946536492091044,0.0,0.0,63.0,6.515625,9.178571428571427,63.0,9.28420526534319,3.979430102169861,10.0,1.171875,1.7857142857142856,31.0,1.7691252678632736,2.875920349411122,7.0,0.40625,0.6190476190476191,19.0,0.6037525236606598,2.6500605296345365,7.898858670569592,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
2,1.546238726216531e-11,0.21899192460290037,2.3914883252320724e-12,0.03387036051602543,1.2108339680946016e-12,0.017148895351782243,2.447852603097956e-12,0.03466864098070537,2.0993317058883077e-12,0.029732581577315263,7.060711161018092e-11,50.5,8.645916750538163e-06,3.206378522043153,0.0,0.0,63.0,6.640625,9.369047619047619,63.0,9.350053435191512,3.9376370429639467,6.0,1.234375,1.8809523809523807,27.0,1.9682288281619549,2.7539655589331264,7.0,0.453125,0.6904761904761905,13.0,0.7725765109062195,2.3156665016534532,7.810437399654754,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
3,1.5261253972119846e-11,0.22841304041326763,2.0418250799630202e-12,0.030559708616239932,1.3688790620151748e-12,0.02048782027244626,1.8637526971557576e-12,0.027894524323720596,8.30607587830403e-13,0.012431586871777844,6.681428496598822e-11,50.5,8.708420864422806e-06,2.8596216446106486,0.0,0.0,63.0,5.5,7.63095238095238,63.0,7.672301756218076,4.003852034762986,9.0,1.125,1.7142857142857142,32.0,1.6994192227721214,2.6830388304120723,11.0,0.5625,0.8571428571428572,19.0,0.8577091246843338,2.448049917533057,7.688217095401584,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
4,1.4688404271961436e-11,0.22243581036300164,1.861575279711866e-12,0.028191013688592153,1.5064102705032196e-12,0.02281252497237992,1.7075438760386784e-12,0.025858418570496262,1.0033436850365719e-12,0.015194268997602118,6.60343505301186e-11,50.5,8.270963917311747e-06,3.20787531431984,0.0,0.0,63.0,5.421875,7.511904761904761,63.0,7.450730588287115,4.022415049394845,10.0,1.09375,1.6666666666666665,28.0,1.678743377327919,2.8238222750804294,9.0,0.546875,0.8333333333333333,23.0,0.8917475938796997,2.704170850301593,8.09848409658964,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
5,4.700140089670098e-12,0.09005017385497242,1.7345783682215141e-12,0.03323285703051998,1.2057875220703577e-12,0.023101731846935956,1.487776361991628e-12,0.028504367422816142,9.14441253261014e-13,0.01751981691296631,5.2194680903556787e-11,50.5,7.399572041322244e-06,3.5573763109262715,0.0,0.0,63.0,6.625,9.345238095238095,63.0,9.28615989536047,4.018963488675422,8.0,1.34375,2.0476190476190474,33.0,1.9903544783592224,2.9675172083872847,10.0,0.59375,0.9047619047619047,21.0,0.8584727048873901,2.6941753926211005,8.510519784254999,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
6,5.356416729833934e-12,0.09947392700871914,2.1232594336700016e-12,0.03943101602776381,1.1416555373099408e-12,0.02120166620997578,1.4440030512943107e-12,0.026816556920370778,7.354321445640181e-13,0.013657698263237072,5.3847444158552524e-11,50.5,7.445099072356243e-06,3.64319240145633,0.0,0.0,63.0,7.84375,11.20238095238095,63.0,11.117166087031364,3.9656821815750294,5.0,0.984375,1.5,26.0,1.52678994089365,2.6804666027276025,5.0,0.3125,0.47619047619047616,15.0,0.4694679379463196,2.3771323347922406,7.053856816359812,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
7,6.534884752791825e-12,0.11838062023148845,2.036980334678428e-12,0.03690026749370876,1.2753597571730964e-12,0.02310337286482842,1.5618782416491876e-12,0.02829370707624283,1.0887311641896814e-12,0.0197225621197165,5.520231892697577e-11,50.5,7.4791933002416044e-06,3.550890211060627,0.0,0.0,63.0,7.796875,11.13095238095238,63.0,11.136701446026564,3.9901967154435063,6.0,1.3125,2.0,31.0,1.9494692236185074,2.8028058661329958,7.0,0.421875,0.6428571428571428,20.0,0.5900209546089172,2.657193979269144,7.999490023629564,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
8,4.435351359319346e-12,0.08528487640637977,1.6459837042129798e-12,0.031649694783653315,1.1048338964666755e-12,0.02124422952688,1.507386261682212e-12,0.028984682522191618,1.2358090818163225e-12,0.023762677692520145,5.2006305762642317e-11,50.5,7.341751370404381e-06,3.704810350179948,0.0,0.0,63.0,6.9375,9.821428571428571,63.0,9.914385443553329,4.054277639654476,11.0,1.1875,1.8095238095238093,32.0,1.7526354640722275,2.8225869528372964,15.0,0.578125,0.8809523809523808,22.0,0.8362495303153992,2.8067409100225222,8.218212857247446,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
9,6.416672010721715e-12,0.1139507151071011,1.6263180557585705e-12,0.02888103134079866,1.1028882093038768e-12,0.019585682410348363,1.690664993562246e-12,0.030023738894719012,9.106959424979075e-13,0.016172628695899315,5.631094113530355e-11,50.5,7.521916813857388e-06,3.720526669085162,0.0,0.0,63.0,6.6875,9.44047619047619,63.0,9.445998849347234,4.0345211211814425,7.0,1.03125,1.5714285714285712,27.0,1.5531878843903542,2.6455138578205277,10.0,0.375,0.5714285714285714,19.0,0.6512569487094879,2.680998859532975,7.530957550453344,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
10,4.579655120097332e-12,0.08040553092497614,1.5619796292827474e-12,0.027423855747418707,1.1386071424421938e-12,0.019990656370886026,1.4356944431323956e-12,0.025206652230101736,8.992359000906601e-13,0.015787987976712894,5.69569663605662e-11,50.5,7.707662007305771e-06,3.669136800918906,0.0,0.0,63.0,6.96875,9.869047619047619,63.0,9.912705183029175,4.006620394870264,6.0,1.0625,1.6190476190476188,31.0,1.6683823764324188,2.7099950325415954,14.0,0.453125,0.6904761904761905,25.0,0.7414233982563019,2.897459934652017,8.017260741882334,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
11,6.986562621342985e-12,0.10642434852420676,2.183556862466118e-12,0.033261509149523354,1.3690188657163265e-12,0.020853880341117174,1.9710982442112153e-12,0.030025186617029565,9.940343484226947e-13,0.015141846380707652,6.564815963852347e-11,50.5,8.244748642027844e-06,3.4229144714038826,0.0,0.0,63.0,6.1875,8.678571428571429,63.0,8.71911983564496,4.018994170011609,9.0,1.453125,2.214285714285714,31.0,2.1486897319555283,2.8902577299682353,9.0,0.46875,0.7142857142857142,21.0,0.6782246828079224,2.7689729262654916,8.486145070997178,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
12,1.1831767081225561e-11,0.15419134193807274,3.572272369360636e-12,0.04655377904404796,1.438548465323021e-12,0.01874713360974445,2.0085831290906247e-12,0.026175813464084565,9.069870018240874e-13,0.011819835699230086,7.673431551025419e-11,50.5,8.980413440440316e-06,2.911759908915248,0.0,0.0,63.0,5.328125,7.369047619047619,63.0,7.325826229527593,4.018617914960343,9.0,1.203125,1.8333333333333335,28.0,1.8122307546436787,2.78791428802226,10.0,0.5625,0.857142857142857,19.0,0.8037187159061432,2.5603328020992393,7.964196560671321,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
13,1.0665368835667785e-11,0.13930206370061984,4.669761320461821e-12,0.060992488769276904,1.5550054916084543e-12,0.02031017186413992,1.6057834413544266e-12,0.020973390670642397,7.526202461769225e-13,0.009830091681845662,7.65628918361841e-11,50.5,9.175729246635456e-06,2.803990864993779,0.0,0.0,63.0,5.421875,7.511904761904761,63.0,7.489183008670807,4.0309204194378525,10.0,1.140625,1.738095238095238,29.0,1.702565923333168,2.902438902623934,12.0,0.546875,0.8333333333333333,22.0,0.8112859725952148,2.7314426234298774,8.147733421982194,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
14,8.086069053411511e-12,0.10064751636061468,6.625496400268193e-12,0.08246772973845024,6.343010201327664e-12,0.07895161651437141,1.9383409439058718e-12,0.024126581231940808,6.229795392607945e-13,0.007754242878203634,8.034047282835631e-11,50.5,9.025448889588006e-06,3.0112965953149384,0.0,0.0,63.0,5.828125,8.13095238095238,63.0,8.141597643494606,4.03516684360136,8.0,1.109375,1.6904761904761902,28.0,1.647134281694889,2.7170287113307765,12.0,0.5625,0.857142857142857,20.0,0.8825795650482178,2.8119490495014046,8.058691607575287,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
15,5.659077923948091e-12,0.08605161751072642,2.7005506378552767e-12,0.04106441962455687,1.3400308768691935e-12,0.020376433408159037,1.821626999021331e-12,0.027699556689906053,6.612688695546545e-13,0.010055216874442446,6.576376002743564e-11,50.5,8.56450878927717e-06,3.471061289637317,0.0,0.0,63.0,6.59375,9.297619047619047,63.0,9.34741715528071,3.9830052099152966,7.0,1.125,1.7142857142857142,28.0,1.742472268640995,2.769478801967507,12.0,0.4375,0.6666666666666666,25.0,0.6339264512062073,2.909104394468152,8.05498191628286,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
16,4.834252310798507e-12,0.0759670185252586,2.3668514906233995e-12,0.03719347677263136,1.314310470743769e-12,0.020653503677477952,1.8072191935419574e-12,0.028399232213911444,9.831122948063619e-13,0.015448947450495876,6.363619903275716e-11,50.5,8.180401891877409e-06,3.779649964014301,0.0,0.0,63.0,6.71875,9.488095238095237,63.0,9.580790827050805,3.952780006085071,8.0,1.3125,1.9999999999999998,32.0,2.0089824497699738,2.8907645619555495,8.0,0.359375,0.5476190476190476,14.0,0.5507569313049316,2.5842687257401273,8.034772668770582,sub-1064,awake,EC,,2012-01-23T01:54:28.957249Z,data/raw/ds005620/sub-1064/eeg/sub-1064_task-awake_acq-EC_eeg.vhdr,data/processed/sub-1064/sub-1064_task-awake_acq-EC_eeg_epochs.npy,sub-1064_task-awake_acq-EC_eeg
