tau_ps,measurement_frequency_ps_inv,survival_probability,effective_rate_ps_inv,local_regime
0.001,1000,0.999887777545,0.112228752133,zeno
0.00216905218305,461.030863073,0.999549289026,0.207838510633,zeno
0.00470478737278,212.549456706,0.998426596997,0.334689323057,zeno
0.0102049293217,97.9918594708,0.99545060469,0.44682086064,zeno
0.022135024223,45.177271546,0.988784197052,0.509562322506,zeno
0.0480120226127,20.8281164921,0.97460001154,0.53586862897,zeno
0.104140582461,9.60240452255,0.945188045784,0.541300804211,anti-zeno
0.22588635773,4.42700484461,0.887203335776,0.52982873452,anti-zeno
0.489959297354,2.04098586434,0.783963614181,0.496760999346,anti-zeno
1.06274728353,0.940957474555,0.631677075911,0.432254194741,anti-zeno
2.30515431537,0.433810436609,0.462654798285,0.334369839752,anti-zeno
5,0.2,0.321504216198,0.226948924249,n/a
