site,0,1,2,3,4,5,6,7
0,0.0307538339371,-60,-7.5627650731,-2.28336644634,-0.995484065383,-0.532000419871,-0.317454060715,-0.192880512086
1,-60,7.46863843771,-60,-7.5627650731,-2.28336644634,-0.995484065383,-0.532000419871,-0.317454060715
2,-7.5627650731,-60,-6.85344638406,-60,-7.5627650731,-2.28336644634,-0.995484065383,-0.532000419871
3,-2.28336644634,-7.5627650731,-60,-22.2647959689,-60,-7.5627650731,-2.28336644634,-0.995484065383
4,-0.995484065383,-2.28336644634,-7.5627650731,-60,-11.3667696293,-60,-7.5627650731,-2.28336644634
5,-0.532000419871,-0.995484065383,-2.28336644634,-7.5627650731,-60,-24.7911638749,-60,-7.5627650731
6,-0.317454060715,-0.532000419871,-0.995484065383,-2.28336644634,-7.5627650731,-60,1.50359006494,-60
7,-0.192880512086,-0.317454060715,-0.532000419871,-0.995484065383,-2.28336644634,-7.5627650731,-60,33.5053811389
