tau_ps,measurement_frequency_ps_inv,survival_probability,effective_rate_ps_inv,local_regime
0.001,1000,0.999889968802,0.110037251623,zeno
0.00165038957186,605.917546409,0.999726366628,0.165821949466,zeno
0.0027237857389,367.136073047,0.999352356399,0.237850357718,zeno
0.00449530757946,222.454188579,0.998566977385,0.319010512369,zeno
0.00741900875143,134.788896132,0.997073964553,0.394975225934,zeno
0.0122442546769,81.6709572276,0.994474529362,0.452521828724,zeno
0.0202077902339,49.4858660162,0.990163059961,0.489199574527,zeno
0.0333507262724,29.9843545185,0.983122946967,0.510366500142,zeno
0.0550416908538,18.1680465205,0.971722390262,0.521152631688,zeno
0.0908402326026,11.0083381708,0.953483473835,0.524362221842,anti-zeno
0.149921772593,6.67014525447,0.924871864485,0.52093885095,anti-zeno
0.247429330081,4.04155804678,0.881375809338,0.510332274004,anti-zeno
0.408354786138,2.44885093538,0.818420107823,0.490699513689,anti-zeno
0.673944480661,1.48380175029,0.733787351688,0.45929006442,anti-zeno
1.11227094289,0.899061515891,0.631228093011,0.413647417543,anti-zeno
1.83568036523,0.54475714778,0.521968468914,0.354172823121,anti-zeno
3.02958773205,0.330077914372,0.419654392038,0.286614503144,anti-zeno
5,0.2,0.332340348897,0.220319137578,n/a
