run_id,command_line,spec_mode,spec_id,selection_mode,bin_label,maze_id,maze_seed,candidate_index,maze_dim,latent_dim,latent_gap,side,barriers,gaps_per_barrier,effective_train_evals,n_runs_eval,shortest_path,detour_ratio,open_fraction,paired_norm_adv_pct_mean,paired_raw_adv_mean,maze_quantum_win,quantum_mean_dist,classical_mean_dist,planner_mean_dist,paired_quantum_win_rate,paired_n_trials
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=234,234,32,3,6,3,9,6,2,138,20,24,1.0,0.5514403292181069,-4.999999999999999,-1.2,0,21.6,20.4,0.0,0.35,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=235,235,33,3,6,3,9,6,2,138,20,24,1.0,0.6255144032921811,-19.166666666666668,-4.6,0,22.2,17.6,0.0,0.15,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=238,238,36,3,6,3,9,6,2,138,20,24,1.0,0.5514403292181069,-28.333333333333332,-6.8,0,20.7,13.9,0.0,0.25,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=239,239,37,3,6,3,9,6,2,138,20,24,1.0,0.5500685871056241,-0.8333333333333334,-0.2,0,20.2,20.0,0.0,0.0,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=240,240,38,3,6,3,9,6,2,138,20,24,1.0,0.6227709190672154,22.500000000000004,5.4,1,15.9,21.3,0.0,0.7,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=244,244,42,3,6,3,9,6,2,138,20,24,1.0,0.5514403292181069,3.749999999999999,0.9,1,19.4,20.3,0.0,0.35,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=246,246,44,3,6,3,9,6,2,138,20,24,1.0,0.5514403292181069,12.083333333333332,2.9,1,15.7,18.6,0.0,0.85,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=252,252,50,3,6,3,9,6,2,138,20,24,1.0,0.710562414266118,45.833333333333336,11.0,1,0.0,11.0,0.0,1.0,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=256,256,54,3,6,3,9,6,2,138,20,26,1.0833333333333333,0.710562414266118,-1.1538461538461537,-0.3,0,12.3,12.0,0.0,0.5,20
3d6d-bins30,"enaqt_simulation/maze_scaling_sweep.py --maze-dims 3 --latent-dims 6 --side-override 9 --barriers-override 6 --gaps-override 2 --difficulty-bins easy=1.00:1.125,medium=1.125:1.375,hard=1.375:inf --mazes-per-bin 30 --bin-max-candidates 600 --train-evals 160 --n-seeds-ga 2 --n-runs 20 --de-workers 2 --per-maze-csv-out enaqt_simulation/results/2026-03-15-3d6d-bins30/3d6d_bins30.csv --run-id 3d6d-bins30","latent-dims=[6] | side=9, barriers=6, gaps=2",3D/6D|side=9|barriers=6|gaps=2,difficulty-bins,easy,3D/6D|side=9|barriers=6|gaps=2|seed=258,258,56,3,6,3,9,6,2,138,20,24,1.0,0.5514403292181069,7.5,1.8,1,0.0,1.8,0.0,0.1,20
